year,rank,university
2025,1,University of Oxford
2025,2,Massachusetts Institute of Technology
2025,3,Harvard University
2025,4,Princeton University
2025,5,University of Cambridge
2025,6,Stanford University
2025,7,California Institute of Technology
2025,8,"University of California, Berkeley"
2025,9,Imperial College London
2025,10,Yale University
2025,11,ETH Zurich
2025,12,Tsinghua University
2025,13,Peking University
2025,14,University of Chicago
2025,14,University of Pennsylvania
2025,16,Johns Hopkins University
2025,17,National University of Singapore
2025,18,Columbia University
2025,18,"University of California, Los Angeles"
2025,20,Cornell University
2025,21,University of Toronto
2025,22,University College London
2025,22,University of Michigan
2025,24,Carnegie Mellon University
2025,25,University of Washington
2025,26,Technical University of Munich
2025,27,Duke University
2025,28,University of Tokyo
2025,29,University of Edinburgh
2025,30,Nanyang Technological University
2025,31,Northwestern University
2025,32,EPFL
2025,33,New York University
2025,34,"University of California, San Diego"
2025,35,University of Hong Kong
2025,36,Fudan University
2025,36,King's College London
2025,38,Ludwig-Maximilians-Universität München
2025,39,University of Melbourne
2025,40,Georgia Institute of Technology
2025,41,University of British Columbia
2025,42,Paris Sciences et Lettres – PSL Research University Paris
2025,43,KU Leuven
2025,44,Chinese University of Hong Kong
2025,45,McGill University
2025,46,University of Illinois Urbana-Champaign
2025,47,Universität Heidelberg
2025,47,Zhejiang University
2025,49,Karolinska Institutet
2025,50,London School of Economics and Political Science
2025,50,University of Texas at Austin
2025,52,Shanghai Jiao Tong University
2025,53,University of Manchester
2025,53,University of Science and Technology of China
2025,55,Kyoto University
2025,56,Delft University of Technology
2025,56,University of Wisconsin-Madison
2025,58,Brown University
2025,58,Monash University
2025,58,University of Amsterdam
2025,61,University of Sydney
2025,62,Seoul National University
2025,62,"University of California, Davis"
2025,64,Université Paris-Saclay
2025,65,Nanjing University
2025,66,Hong Kong University of Science and Technology
2025,67,"University of California, Santa Barbara"
2025,67,Wageningen University & Research
2025,69,Washington University in St. Louis
2025,70,University of North Carolina at Chapel Hill
2025,71,Institut Polytechnique de Paris
2025,72,University of Southern California
2025,73,Australian National University
2025,73,Leiden University
2025,75,Boston University
2025,76,Sorbonne Université
2025,77,University of Queensland
2025,78,City University of Hong Kong
2025,78,University of Bristol
2025,79,Purdue University West Lafayette
2025,80,University of Groningen
2025,82,Korea Advanced Institute of Science and Technology
2025,83,UNSW Sydney
2025,84,Humboldt-Universität zu Berlin
2025,84,Hong Kong Polytechnic University
2025,84,University of Massachusetts Amherst
2025,87,University of Glasgow
2025,87,University of Minnesota
2025,89,University of Bonn
2025,90,"University of California, Irvine"
2025,90,Vanderbilt University
2025,92,RWTH Aachen University
2025,93,University of Birmingham
2025,95,KTH Royal Institute of Technology
2025,95,Lund University
2025,97,University of Copenhagen
2025,98,Emory University
2025,98,University of Sheffield
2025,100,Pennsylvania State University
2025,100,University of Tübingen
2025,102,Sungkyunkwan University
2025,102,Yonsei University
2025,104,Freie Universität Berlin
2025,104,University of Bern
2025,106,University of Warwick
2025,107,Erasmus University Rotterdam
2025,107,University of Helsinki
2025,110,Aarhus University
2025,110,University of Vienna
2025,112,Ghent University
2025,112,Rice University
2025,112,"University of Maryland, College Park"
2025,115,University of Southampton
2025,116,McMaster University
2025,116,Ohio State University
2025,116,University of Alberta
2025,116,University of Oslo
2025,120,Tohoku University
2025,122,Michigan State University
2025,123,University of Leeds
2025,124,Technical University of Denmark
2025,125,Université de Montréal
2025,126,University of Basel
2025,127,University of Rochester
2025,128,Adelaide University
2025,130,University of Florida
2025,130,Uppsala University
2025,132,Maastricht University
2025,132,Universität Hamburg
2025,134,University of Lausanne
2025,134,Wuhan University
2025,136,University of Arizona
2025,136,University of Nottingham
2025,139,Trinity College Dublin
2025,140,Technische Universität Berlin
2025,141,Queen Mary University of London
2025,141,University of Pittsburgh-Pittsburgh campus
2025,143,Texas A&M University
2025,143,University of Colorado Boulder
2025,146,Beijing Normal University
2025,146,University of Bologna
2025,149,University of Western Australia
2025,149,Universitat de Barcelona
2025,151,Pohang University of Science and Technology
2025,152,Harbin Institute of Technology
2025,152,University of Auckland
2025,154,Tongji University
2025,154,University of Technology Sydney
2025,157,Newcastle University
2025,157,University of Cologne
2025,159,Case Western Reserve University
2025,160,University of Liverpool
2025,162,The University of Osaka
2025,163,University of Virginia
2025,163,University of Waterloo
2025,166,Huazhong University of Science and Technology
2025,166,Karlsruhe Institute of Technology
2025,168,Dartmouth College
2025,168,Lancaster University
2025,171,University of Geneva
2025,172,Durham University
2025,172,National Taiwan University
2025,172,University of Exeter
2025,178,Macquarie University
2025,179,Tufts University
2025,180,University of Cape Town
2025,183,Southern University of Science and Technology
2025,185,Sapienza University of Rome
2025,185,Eindhoven University of Technology
2025,185,University of St Andrews
2025,188,University of Münster
2025,189,Indiana University
2025,189,Korea University
2025,191,Stockholm University
2025,191,University of Leicester
2025,191,University of Ottawa
2025,195,Tokyo Institute of Technology
2025,196,Aalto University
2025,196,University of Notre Dame
2025,199,Universitat Autònoma de Barcelona
2025,201,Arizona State University
2025,201,Beijing Institute of Technology
2025,201,Cardiff University
2025,201,Chalmers University of Technology
2025,201,Deakin University
2025,201,Georgetown University
2025,201,Nagoya University
2025,201,Queensland University of Technology
2025,201,Sun Yat-sen University
2025,201,Tel Aviv University
2025,201,Tianjin University
2025,201,University of Wollongong
2025,201,Western University
2025,201,Hong Kong Baptist University
