year,rank,university
2022,1,Harvard University
2022,2,Massachusetts Institute of Technology
2022,3,Stanford University
2022,4,University of Oxford
2022,5,"University of California, Berkeley"
2022,6,University of Cambridge
2022,7,California Institute of Technology
2022,8,Columbia University
2022,9,Princeton University
2022,10,Johns Hopkins University
2022,11,University of Pennsylvania
2022,12,Yale University
2022,13,"University of California, Los Angeles"
2022,14,Cornell University
2022,15,University of Michigan–Ann Arbor
2022,16,University of Toronto
2022,17,University of Chicago
2022,18,University of Washington
2022,19,New York University
2022,20,Duke University
2022,21,University College London
2022,22,Imperial College London
2022,23,ETH Zurich
2022,24,University of Edinburgh
2022,25,University of Copenhagen
2022,26,Karolinska Institute
2022,27,University of Manchester
2022,28,"University of California, San Diego"
2022,29,University of Melbourne
2022,30,Washington University in St. Louis
2022,31,University of British Columbia
2022,32,Peking University
2022,33,University of North Carolina at Chapel Hill
2022,34,Vanderbilt University
2022,35,Tsinghua University
2022,36,University of Sydney
2022,37,University of Pittsburgh
2022,38,King's College London
2022,39,University of Queensland
2022,40,University of Wisconsin–Madison
2022,41,McGill University
2022,42,Northwestern University
2022,43,Emory University
2022,44,University of Texas at Austin
2022,45,University of Amsterdam
2022,46,University of Geneva
2022,47,Fudan University
2022,48,Carnegie Mellon University
2022,49,Wageningen University & Research
2022,50,Leiden University
2022,51,Monash University
2022,52,Utrecht University
2022,53,Pennsylvania State University
2022,54,University of New South Wales
2022,55,University of Glasgow
2022,56,Zhejiang University
2022,57,KU Leuven
2022,58,Ohio State University
2022,59,University of Minnesota–Twin Cities
2022,60,University of Bristol
2022,61,Shanghai Jiao Tong University
2022,62,London School of Economics
2022,63,University of Auckland
2022,64,Michigan State University
2022,65,Erasmus University Rotterdam
2022,66,University of Zurich
2022,67,University of Groningen
2022,68,University of Arizona
2022,69,Purdue University
2022,70,Georgia Institute of Technology
2022,71,Texas A&M University
2022,72,University of Adelaide
2022,73,University of Helsinki
2022,74,University of Virginia
2022,75,UNSW Sydney
2022,76,University of Florida
2022,77,Ghent University
2022,78,University of Nottingham
2022,79,Nanjing University
2022,80,Lund University
2022,81,McMaster University
2022,82,Seoul National University
2022,83,Kyoto University
2022,85,University of Alberta
2022,86,National University of Singapore
2022,87,Aarhus University
2022,88,"University of California, Davis"
2022,89,University of Southampton
2022,90,"University of Maryland, College Park"
2022,91,Uppsala University
2022,93,Indiana University Bloomington
2022,94,Technical University of Munich
2022,95,University of Colorado Boulder
2022,96,University of Western Australia
2022,97,Case Western Reserve University
2022,98,Rice University
2022,99,Osaka University
2022,100,Heidelberg University
2022,101,University of Tokyo
2022,102,University of Birmingham
2022,103,University of Sheffield
2022,104,Boston University
2022,105,Nanyang Technological University
2022,106,University of Leeds
2022,107,University of Warwick
2022,108,LMU Munich
2022,109,University of Illinois Urbana-Champaign
2022,110,Wuhan University
2022,111,University of Liverpool
2022,113,Brown University
2022,114,Tohoku University
2022,116,KAIST
2022,117,Dartmouth College
2022,118,National Taiwan University
2022,119,University of Science and Technology of China
2022,120,Australian National University
2022,121,Hebrew University of Jerusalem
2022,122,University of Waterloo
2022,123,Trinity College Dublin
2022,124,Arizona State University
2022,126,Queen Mary University of London
